id,framework,title,acronym,objective,keywords,start_date,end_date,total_cost,ec_max_contribution,funding_scheme,status,topics,legal_basis
190163802,HORIZON,Democratizing quantum computing with 3D scalable and customizable quantum processors:,DEMOQC,"Quantum computing is moving from a research field to an emerging industry. But quantum computer integrators face a critical bottleneck: quantum processing units (QPUs) are exceedingly scarce. If a team of innovators envisions a new type of quantum computer, they have two main options. They can either raise enormous capital and build their own QPUs or rely on a university lab for support. This situation reinforces the dominance of incumbent tech giants and stifles innovation when the field needs it the most. 
 
We reduce the capital intensity of the field by bringing customizable, scalable, and affordable QPUs to the market. We achieve this by combining three proprietary technologies: parameterized designs, high-yield fabrication, and scalable 3D architecture. We have demonstrated our ability to deliver fully packaged QPUs in less than 30 days to our customers. This project will advance our 3D architecture from prototype to product and offer our customers modular 1000+ qubit QPUs.","quantum computing,quantum hardware,superconducting qubits",2023-01-01,2025-04-30,3796125.00,2499700.00,HORIZON-EIC-ACC-BF,SIGNED,HORIZON-EIC-2022-ACCELERATORCHALLENGES-01,HORIZON.3.1
101063763,HORIZON,Quantum Simulation with Universal Nonlinear optics,QSun,"Quantum information processing is a transformative technology that will address societal needs by obtaining unprecedented computational power with quantum computers and simulators, unconditionally secure quantum communications, and quantum-enhanced sensors. Photons play a central role in the development of quantum technologies due to their unique capability to encode quantum information with low-noise, transmit it over long distances, and process it in scalable photonic circuits. However, the lack of photon-photon nonlinearities poses a central challenge in the development of photonic quantum technologies. The aim of this proposal is to address this limitation for next-generation quantum photonic devices. The enabling technology is the combination of two quantum photonic platforms: light-matter interactions with quantum dot emitters in integrated nanostructures, and programmable quantum photonic circuits performing universal transformation in the temporal degree of freedom. Through the use of high-quality light-matter interfaces and efficient interconnection with photonic circuitry, this project will (1) develop devices able to perform high-quality programmable nonlinear circuits, and (2) demonstrate how such devices can be used to implement near-term applications, focusing on the quantum simulation of anharmonic molecular dynamics. The developed platform solves a critical set of challenges that have limited the scaling of quantum photonic devices, enabling transformative quantum photonic technologies for quantum computing and networking. The synergy between my strong experience in programmable quantum photonic devices and applications, the world-leading expertise of Prof. Lodahls host group in integrated light-matter interactions, and the high interdisciplinarity of the Niels Bohr Institute and University of Copenhagen, makes us uniquely placed to execute this ambitious project.","Quantum photonics, Solid-state emitters, Quantum Simulation, Quantum Computing",2022-10-01,2025-06-30,0.00,230774.40,HORIZON-TMA-MSCA-PF-EF,SIGNED,HORIZON-MSCA-2021-PF-01-01,HORIZON.1.2
101248542,HORIZON,Compact plug-and-play quantum network terminals based on deterministic semiconductor sources,ComPQT,"Communications networks have brought incredible convenience to our lives, making it possible for billions of people to connect and communicate at the touch of a button. However, despite their ease of use, these networks remain vulnerable to security threats, with frequent cyber-attacks and the growing danger of quantum computing underscoring the need for stronger protections. 
Quantum communication offers a potential solution against these security threats. Research institutions worldwide are making significant investments in this field, with many companies commercializing relevant products. However, most of these devices predominantly use lasers as light sources, which are probabilistic by nature and can cause security vulnerability. 
This proposal aims to address this limitation. Compact plug-and-play quantum terminals will be built by using genuinely deterministic quantum light sources. They will serve as nodes in a clocked quantum network. Two mobile 19-inch rack-based terminals (‘transmitter’ and ‘receiver’) will be tested on a 79-kilometre quantum communication testbed that connects Hannover and Braunschweig. For demonstration purposes, one-way quantum key distribution will be realized by using these two terminals that are strictly time and frequency synchronized. 
This proposal builds on the successful scientific outcome from the PI’s ERC Starting Grant 'QD-NOMS', i.e., semiconductor single and entangled photon pair sources. Combined with the ultra-stable time and frequency synchronization technologies that are being developed in the current ERC Consolidator Grant 'MiNet', the full-fledged plug-and-play terminals proposed here will be instrumental in demonstrating multipartite quantum communication in a large-scale photonic network. With the Proof-of-Concept grant, we aim to narrow the gap between the lab-based quantum photonic devices and real-world applications, and finally bring ComPQT to the pre-commercial stage via market analysis and IPR activities.",,2025-10-01,2027-03-31,0.00,150000.00,HORIZON-ERC-POC,SIGNED,ERC-2025-POC,HORIZON.1.1
101220131,HORIZON,Chiral One Dimensional Enchainment of Metals,PolyMetal,"Semiconducting polymers have enabled the development of highly successful technologies such as flexible solar cells and OLED displays. Advances in synthetic chemistry allow precise tailoring of the electronic properties of soluble and processable materials. In the coming decades, a transition to chiral versions of these materials could not only enable the emergence of new technologies, including spintronics and quantum computing, but also increase the energy efficiency of OLED displays by 100%.  Existing strategies for developing chiral semiconducting polymers fall short in achieving the necessary performance levels for light polarization, especially when high energy conversion efficiency is required. This highlights the need for a new paradigm in macromolecular design.

PolyMetal focuses on the fundamental aspects of chemical synthesis to produce an unseen class of processable chiral semiconductors. Specifically, PolyMetal will develop an innovative class of semiconducting polymers based on one-dimensional chains of metal atoms held in place by helically chiral polymers. To achieve the precise enchainment of metal atoms, we will develop a selective approach to synthesize phosphorus(III)-based polymers, which are highly sought-after for applications in energy conversion and nanomedicine. Selective catalysis will be employed to determine the chirality at the phosphorus(III) centers, introducing a new concept for the control of polymer tacticity and hence material properties. Upon metal coordination and enchainment, all centers of chiral information will actively participate in optical transitions and lead to helically arranged exciton coupled chromophores at a macromolecular scale thereby maximize the circular polarization of emitted light which we will assess in chiral OLEDs. Simultaneously, the use of metals will achieve quantitative energy efficiency thereby unifying high quantum yields with high chiroptical activity, an immense challenge that needs to be solved",Main Group Chemistry,2026-01-01,2030-12-31,1493812.00,1493812.00,HORIZON-ERC,SIGNED,ERC-2025-STG,HORIZON.1.1
101220228,HORIZON,A Quantum Chemical Approach to Spins on Surfaces,SPINOCCHIO,"Molecules and atoms with unpaired electrons exhibit a net magnetic moment and serve as the building blocks of molecular quantum devices for next-generation technologies. As the design principles for long-lived molecular magnets become clearer, the next challenge is assembling these units into spin lattices via surface deposition and addressing their magnetic behavior at the single-molecule level. Advancing molecular quantum technologies requires understanding the electronic structure and magnetic properties of these building blocks and their interactions with the environment; thus, it depends on quantum chemical calculations. However, our current theoretical toolkit for molecular magnetic materials is inadequate. Density functional theory fails to capture strong correlation, while wave function-based methods are computationally prohibitive for strongly-correlated materials. SPINOCCHIO aims to change this and advance our understanding of the static and dynamic behavior of spins on surfaces and surface spin arrays. These systems, which represent real molecular quantum devices comprising hundreds of atoms and multiple magnetic centers, pose a huge dilemma in quantum chemistry between system size and complexity. To overcome this challenge, we will develop a new quantum chemical approach that combines periodic quantum embedding with a coarse-grained treatment of strong correlation. Equipped with these new tools, we will investigate how the surface affects the magnetic behavior and spin relaxation of the magnetic adsorbate. Moreover, we will explore all light-induced phenomena key to the optical control of individual spins. This newly gained knowledge will guide the design of magnetically stable and optically addressable spins on surfaces, bringing molecular quantum technologies to fruition.","Quantum embedding theories, Molecular magnets, Electronic structure theory, Equation-of-motion coupled-cluster theory, Quantum technologies, Dynamic and non-dynamic electron correlation",2026-09-01,2031-08-31,1500000.00,1500000.00,HORIZON-ERC,SIGNED,ERC-2025-STG,HORIZON.1.1
101140087,HORIZON,Scalable and Quantum Resilient Heterogeneous Edge Computing enabling Trustworthy AI,SMARTY,"SMARTY invokes a cloud-edge continuum, made from heterogeneous systems, that protects data-in-transit and data-in-process in order to offer a trustful fabric to run AI processes. The securitization occurs by employing novel accelerators for quantum resilient communications, confidential computing, software defined perimeters and swarm formation, offering multiple layers of security. Semantic programmability and graph-management open the door to drag-and-drop approaches in deploying services in a fast and reliable manner.

SMARTY is proposed within the context of different key sectors in Europe : automotive, fintech, telco and industrial settings; the technology proposed in SMARTY will be matured within the lifetime of the project and tested through five use cases. 

SMARTY is supported by large European industry players and well as by 13 SMEs which will seek a visible platform to develop their products and gain visibility towards high-growth. SMARTY’s major suppliers and OEMs and reputable academic partners provide a great opportunity for these 13 SMEs to mature their technologies in a challenging but safe environment. 

The results of SMARTY are applicable to different vertical sectors and can be transported to different use cases. Strong synergies with existing efforts in the area of edge computing, European processors and trustworthy AI are envisioned and planned within SMARTY.","edge computing, postquantum cryptography, confidential computing, software defined perimeters, graph knowledge, semantic programming, artificial intelligence",2024-06-01,2027-05-31,31999656.45,9692779.02,HORIZON-JU-IA,SIGNED,HORIZON-KDT-JU-2023-1-IA-Focus-Topic-3,HORIZON.2.4
101077479,HORIZON,Novel Approaches to Error Detection and Protection with Superconducting Qubits,NovaDePro,"Superconducting qubits have emerged as a leading platform for realizing intermediate- and large-scale quantum computing and quantum simulation. This success has been due to the exceedingly wide range of qubit encodings and rich physics attainable by combining superconducting circuit elements to achieve high coherence qubits and high fidelity quantum operations.   In this project, I will demonstrate novel approaches to two central aspects of the future of superconducting quantum computing. 1) Despite the dramatic scaling in the number of qubits, the fundamental workhorse to implementing quantum algorithms and quantum error correction is still two-qubit interactions. 2) There has recently been a large interest in novel so-called 'protected qubit encodings' for high coherence, but none have yet been competitive with standard 'non-protected' qubits.  The main results of NovaDePro will be -Implementation of a novel qubit-qubit coupling mechanism enabling fast microwave-activated multi-qubit gates.  -Demonstration of the first single-shot high-fidelity four-qubit gate and parity readout, enabled by the new coupling technique, in a surface code quantum error correction layout.  -A new approach to hybrid superconductor/semiconductor Josephson junctions with high stability (as demonstrated in our recent experiments) and coherence properties compatible with state-of-the-art superconducting qubits.  -The first demonstration of superconducting circuits that combine standard insulator-based and hybrid superconductor/semiconductor-based Josephson junctions to implement new high-coherence protected qubit encodings and straightforward quantum control schemes.  These achievements will push the boundaries of superconducting quantum computing by opening a new path for high-fidelity error correction in intermediate- and large-scale quantum computing and demonstrate a new family of high coherence protected qubits in a first-of-its-kind hybrid quantum circuit.","superconducting quantum computing, experimental quantum computing, quantum error correction, novel qubits",2023-04-01,2028-03-31,1454635.00,1454635.00,HORIZON-ERC,SIGNED,ERC-2022-STG,HORIZON.1.1
101072578,HORIZON,Bridging Models at Different Scales To Design New Generation Fuel Cells for Electrified Mobility,BLESSED,"To achieve the goals of the European Green Deal on climate neutrality, a 90% reduction in transport emissions is needed by 2050. The automotive industry urgently needs to accelerate the introduction of alternative powertrains for electrified vehicles. Hydrogen-powered Proton Exchange Membrane Fuel Cells (PEMFCs) are carbon-free power devices that meet these goals in both mobile and stationary applications. BLESSED aims at revolutionising the design process of next generation PEMFCs, to improve efficiency, durability and affordability for widespread use, with direct implications in clean energy and sustainable industry/mobility. BLESSED will train 15 Doctoral Candidates (DCs) to solve Multi-Scale (MS) engineering challenges, from the electrons up to the device level, through a unique combination of multi-disciplinary computational methods with Machine Learning (ML) to bridge each length scale’s highly accurate model to adjacent scales. Then, a top-down length scale approach will be followed to optimise PEMFC and its components. To this end, the 15 DCs will synergistically develop a unique MS computational framework for the all-scale PEMFC analysis/design, assisted by ML tools. This will allow the simultaneous consideration of complex physico-chemical phenomena occurring at all length scales, such as catalytically-assisted chemical reactions, contact of rough surfaces, mechanical/chemical degradation of membranes, fluid flows in porous media etc., at affordable computational cost. The proposed ID-network brings together world-class academic expertise on numerical modelling and simulation in electrochemistry, reacting flows, fluid mechanics, materials, optimisation methods and ML, with industrial developers. With a strong focus on industrial applications, BLESSED will develop methodologies and tools to exceed state-of-the-art in PEMFCs by minimising the Platinum group metal content and corrosion while maximising mass transport and electrical conductivity.","mobility, energy efficiency, degradation, solid-liquid-gas interface, multi-scale & scale-bridging, quantum mechanics, particle mechanics, continuum mechanics, optimisation, HPC",2023-02-01,2027-09-30,0.00,3501489.60,HORIZON-TMA-MSCA-DN-ID,SIGNED,HORIZON-MSCA-2021-DN-01-01,HORIZON.1.2
101220349,HORIZON,Asymptotic spectra: from algebraic complexity theory to graph theory and beyond,SPECTRA,"What is the cost of a task if we have to perform it many times? This fundamental question appears throughout computer science (direct-sum problems), mathematics, and physics. Challenging, protagonistic problems of this kind, that play a central role in this proposal, are fast matrix multiplication in algebraic complexity theory, Shannon capacity in graph theory, efficient asymptotic entanglement transformations in quantum information, and the cap set problem in additive combinatorics. Despite tremendous effort, structured approaches avoiding known barriers have been lacking.

Recent work by the PI has built the theory of asymptotic spectrum duality, which Strassen originally introduced to study matrix multiplication, into a powerful theory for direct-sum problems in various areas—from algebraic complexity, to discrete mathematics, quantum information and computational complexity—characterizing such problems in terms of an “asymptotic spectrum”. This approach opens a wealth of unexplored routes towards solving direct-sum problems via methods from algebra, analysis, combinatorics, and optimization.

This proposal develops the asymptotic spectrum approach and synergetic applications to direct-sum problems: their general structure theory, methods for specific problems (matrix multiplication, Shannon capacity, and beyond), and interactions among them. Key objectives are: (1) to construct, through topological properties of asymptotic spectra, entirely new kinds of fast matrix multiplication algorithms and circumvent barriers of existing methods; (2) determine the Shannon capacity and its properties through a new approximation approach induced by asymptotic spectrum distance and structured (orbit) packings; (3) determine the structure (topological, geometric, computational) of asymptotic properties of quantum entanglement (tensors); and (4) develop the structural theory and broad applications of asymptotic spectra and interdisciplinary methods for direct-sum problems.","algebraic complexity theory, matrix multiplication, Shannon capacity of graphs, asymptotic rank conjecture, slice rank method, direct-sum problems",2026-01-01,2030-12-31,1499886.00,1499886.00,HORIZON-ERC,SIGNED,ERC-2025-STG,HORIZON.1.1
101201542,HORIZON,Modeling disorder in crystalline materials using systematically improvable correlated methods,Correlated_Disorder,"This proposal aims to advance the modeling of disordered correlated-electron materials by developing novel ab-initio quantum chemistry methods that challenge the prevailing dominance of density functional theory (DFT) in this area.  By harnessing recent breakthroughs in Green's function techniques, machine learning, and advanced mathematical models, we propose a comprehensive suite of tools for predicting spectral and thermodynamic properties of disordered materials. 
The methods developed in this proposal, based on finite temperature Green’s function approaches, will enable accurate and cost-effective simulations of disordered systems, overcoming the limitations of current approaches which rely predominantly on DFT. The proposed techniques will facilitate the study of a wide range of materials where disorder is a key factor, such as high entropy alloys, superconductors, and catalytic surfaces. Additionally, we will develop machine learning models trained on ab-initio Green's function data and integrate them with ab-initio molecular dynamics to study dynamic processes in disordered systems. Finally, we will also deliver tools for learning material specific DFT functionals from the ab-initio Green’s function data providing an insight into the functional design.  

This project aims to open new frontiers in quantum chemistry and materials science, fostering interdisciplinary collaborations and providing a foundation for the next generation of computational tools. The anticipated outcomes include enhanced predictive capabilities for disordered systems and improved insights into the design of DFT functionals, contributing significantly to the fundamental scientific understanding of correlated materials.","post-DFT methods, electronic structure calculations, quantum chemistry calculations, strongly correlated quantum chemistry methods, quantum chemistry methods for solids",2026-06-01,2031-05-31,0.00,3500000.00,HORIZON-ERC,SIGNED,ERC-2024-ADG,HORIZON.1.1
